COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
55.090,-4.840,2.000,0.013,0.000,0.192,0.102,0.000,0.050,2.040,0.050,0.113,2.300,0.200,0.000,0.760,Low Gel
54.350,-4.980,2.000,0.007,0.000,0.170,0.000,0.124,0.051,2.431,0.051,0.094,2.700,0.400,0.000,1.280,Non Low Gel
54.770,-5.100,2.000,0.009,0.000,0.197,0.000,0.123,0.050,2.460,0.050,0.120,2.600,0.300,0.000,1.160,Low Gel
54.100,-4.820,2.000,0.006,0.000,0.196,0.000,0.123,0.050,2.460,0.050,0.120,2.800,0.400,0.000,1.250,Non Low Gel
53.650,-5.000,2.000,0.009,0.000,0.194,0.000,0.123,0.049,2.510,0.049,0.113,2.900,0.300,0.000,1.090,Low Gel
54.980,-4.660,2.000,0.021,0.000,0.200,0.000,0.125,0.051,2.451,0.051,0.118,7.100,0.500,0.000,2.060,Non Low Gel
54.880,-4.700,2.000,0.013,0.000,0.204,0.000,0.127,0.053,2.396,0.053,0.120,4.400,0.500,0.000,1.730,Non Low Gel
55.500,-4.720,2.000,0.007,0.000,0.202,0.000,0.126,0.052,2.423,0.052,0.112,2.800,0.400,0.000,1.300,Non Low Gel
55.930,-4.940,2.000,0.008,0.000,0.220,0.000,0.123,0.051,2.412,0.051,0.113,5.900,0.900,0.000,2.610,Non Low Gel
55.830,-4.390,2.000,0.010,0.000,0.226,0.000,0.130,0.056,2.321,0.056,0.110,5.000,0.700,0.000,2.080,Non Low Gel
54.030,-4.760,2.000,0.007,0.000,0.188,0.000,0.119,0.049,2.429,0.049,0.112,3.800,0.600,0.000,1.730,Non Low Gel
53.660,-4.880,2.000,0.021,0.000,0.186,0.000,0.119,0.051,2.333,0.051,0.114,1.900,0.300,0.000,1.010,Low Gel
53.760,-4.980,2.000,0.007,0.000,0.187,0.000,0.120,0.051,2.353,0.051,0.120,2.400,0.500,0.000,1.270,Non Low Gel
52.450,-4.570,2.000,0.006,0.000,0.183,0.000,0.120,0.052,2.308,0.052,0.103,3.300,0.700,0.000,1.730,Non Low Gel
51.780,-4.520,2.000,0.011,0.000,0.186,0.000,0.120,0.047,2.553,0.047,0.110,2.700,0.400,0.000,1.180,Non Low Gel
54.610,-4.300,2.000,0.009,0.000,0.192,0.000,0.120,0.052,2.308,0.052,0.100,2.700,0.500,0.000,1.330,Non Low Gel
51.800,-4.440,2.000,0.036,0.000,0.185,0.000,0.120,0.047,2.553,0.047,0.090,3.100,0.300,0.000,1.140,Low Gel
52.070,-4.420,2.000,0.010,0.000,0.185,0.000,0.117,0.046,2.543,0.046,0.096,2.000,0.300,0.000,1.000,Low Gel
52.310,-4.310,2.000,0.031,0.000,0.184,0.000,0.119,0.049,2.429,0.049,0.119,3.200,0.300,0.000,1.290,Low Gel
50.900,-3.840,2.000,0.013,0.000,0.182,0.000,0.116,0.045,2.578,0.045,0.101,2.000,0.200,0.000,0.830,Low Gel
54.230,-3.850,2.000,0.007,0.000,0.188,0.000,0.120,0.047,2.553,0.047,0.114,2.100,0.300,0.000,0.870,Low Gel
53.960,-4.300,2.000,0.017,0.000,0.186,0.000,0.119,0.047,2.532,0.047,0.109,2.400,0.200,0.000,0.930,Low Gel
54.270,-4.100,2.000,0.028,0.000,0.196,0.000,0.123,0.050,2.460,0.050,0.115,1.700,0.300,0.000,0.860,Low Gel
54.760,-4.270,2.000,0.005,0.000,0.199,0.000,0.125,0.052,2.404,0.052,0.109,1.700,0.300,0.000,0.780,Low Gel
52.670,-4.630,2.000,0.015,0.232,0.216,0.000,0.122,0.042,2.905,0.042,0.098,2.800,0.400,0.000,1.270,Non Low Gel
54.480,-5.120,2.000,0.007,0.249,0.000,0.000,0.128,0.053,2.415,0.053,0.110,1.600,0.200,0.000,0.720,Low Gel
54.140,-4.760,2.000,0.023,0.257,0.216,0.000,0.124,0.050,2.480,0.050,0.084,5.200,0.600,0.000,2.010,Non Low Gel
53.680,-4.780,2.000,0.009,0.260,0.000,0.000,0.125,0.052,2.404,0.052,0.085,5.800,0.700,0.000,2.240,Non Low Gel
54.080,-5.090,2.000,0.023,0.268,0.000,0.000,0.127,0.053,2.396,0.053,0.102,1.900,0.400,0.000,1.100,Non Low Gel
53.650,-4.960,2.000,0.007,0.271,0.000,0.000,0.126,0.054,2.333,0.054,0.120,2.900,0.400,0.000,1.270,Non Low Gel
54.030,-5.250,2.000,0.006,0.261,0.000,0.000,0.125,0.052,2.404,0.052,0.110,4.300,0.800,0.000,2.360,Non Low Gel
52.610,-4.750,2.000,0.009,0.267,0.000,0.000,0.125,0.054,2.315,0.054,0.108,4.100,1.100,0.000,2.670,Non Low Gel
54.220,-4.910,2.000,0.006,0.265,0.000,0.000,0.114,0.052,2.192,0.052,0.104,2.100,0.300,0.000,1.340,Low Gel
55.330,-5.150,2.000,0.007,0.266,0.000,0.000,0.126,0.052,2.423,0.052,0.104,2.200,0.300,0.000,1.000,Low Gel
54.620,-5.030,2.000,0.017,0.262,0.000,0.000,0.124,0.051,2.431,0.051,0.117,2.500,0.400,0.000,1.180,Non Low Gel
53.560,-5.270,2.000,0.009,0.260,0.000,0.000,0.126,0.052,2.423,0.052,0.104,1.400,0.200,0.000,0.690,Low Gel
50.740,-5.950,2.000,0.009,0.226,0.000,0.000,0.114,0.046,2.478,0.046,0.116,2.400,0.900,0.000,2.030,Non Low Gel
51.320,-5.540,2.000,0.019,0.227,0.000,0.000,0.115,0.046,2.500,0.046,0.107,4.200,0.800,0.000,2.190,Non Low Gel
53.430,-4.910,2.000,0.015,0.240,0.216,0.000,0.115,0.046,2.500,0.046,0.107,1.800,0.400,0.000,0.920,Non Low Gel
53.660,-4.740,2.000,0.013,0.249,0.000,0.000,0.118,0.050,2.360,0.050,0.107,2.400,0.600,0.000,1.510,Non Low Gel
53.580,-4.720,2.000,0.013,0.244,0.000,0.000,0.117,0.049,2.388,0.049,0.104,2.600,0.600,0.000,1.500,Non Low Gel
53.700,-4.740,2.000,0.009,0.236,0.000,0.000,0.120,0.048,2.500,0.048,0.102,2.000,0.300,0.000,0.850,Low Gel
52.990,-5.280,2.000,0.012,0.247,0.000,0.097,0.000,0.051,1.902,0.051,0.114,7.200,0.900,0.000,3.100,Non Low Gel
54.120,-5.310,2.000,0.015,0.251,0.000,0.097,0.000,0.051,1.902,0.051,0.104,3.800,0.400,0.000,1.540,Non Low Gel
53.250,-5.700,2.000,0.015,0.243,0.000,0.095,0.000,0.049,1.939,0.049,0.108,2.300,0.400,0.000,1.060,Non Low Gel
51.840,-5.210,2.000,0.013,0.238,0.000,0.095,0.000,0.048,1.979,0.048,0.115,2.400,0.300,0.000,0.980,Low Gel
52.580,-5.220,2.000,0.012,0.244,0.000,0.093,0.000,0.047,1.979,0.047,0.117,6.700,0.300,0.000,1.890,Low Gel
53.470,-5.070,2.000,0.011,0.252,0.216,0.096,0.000,0.051,1.882,0.051,0.103,1.900,0.300,0.000,0.870,Low Gel
51.390,-5.030,2.000,0.009,0.245,0.000,0.093,0.000,0.048,1.938,0.048,0.106,0.900,0.200,0.000,0.460,Low Gel
52.560,-4.420,2.000,0.005,0.247,0.000,0.096,0.000,0.050,1.920,0.050,0.085,2.600,0.400,0.000,1.250,Non Low Gel
